"participant_id","layout","answer","domain_question","all_participants"
17,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","7.184"
17,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","14.211"
18,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","29.699"
18,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","18.762"
18,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","17.952"
19,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","8.381"
19,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.128"
19,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","14.848"
20,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","8.84"
20,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","17.183"
20,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.791"
21,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","7.199"
21,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","4.536"
21,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","7.869"
22,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","16.248"
22,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.655"
22,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","22.519"
23,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","14.997"
23,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","15.592"
23,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","13.506"
24,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","23.511"
24,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","28.801"
24,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","32.781"
25,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","5.597"
25,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","9.728"
25,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.399"
26,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","7.155"
26,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","7.155"
26,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","6.509"
26,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","6.509"
26,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","6.679"
26,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","6.679"
27,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","10.592"
27,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.055"
27,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","15.546"
28,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","16.988"
28,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","10.758"
28,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","17.195"
29,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","10.04"
29,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","7.711"
29,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","13.183"
30,"hier                          ","Poor performance                                                                                                                                                                                                                                                                                            ","student                       ","12.944"
30,"organic                       ","Low salary                                                                                                                                                                                                                                                                                                  ","drinking                      ","25.951"
30,"parallel                      ","Sports avoidance                                                                                                                                                                                                                                                                                            ","gym                           ","10.215"
