"participant_id","layout","answer","domain_question","all_participants"
26,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","10.391"
27,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","11.5"
27,"alpha                         ","Doesn""t miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","8.248"
27,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","11.101"
28,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","7.912"
28,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                           ","student                       ","8.198"
28,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","19.301"
29,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","12.714"
29,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","8.535"
29,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","15.015"
30,"outDD                         ","Gambling                                                                                                                                                                                                                                                                                                    ","drinking                      ","10.639"
30,"alpha                         ","Doesn't miss deadlines                                                                                                                                                                                                                                                                                      ","student                       ","27.736"
30,"inDD                          ","Health issues                                                                                                                                                                                                                                                                                               ","gym                           ","16.792"
