"participant_id","layout","answer","domain_question","all_participants"
12,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","9.783"
12,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.735"
12,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.615"
13,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","9.824"
13,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","8.264"
13,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","16.08"
14,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.032"
14,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","9.777"
14,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","12.696"
15,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","10.312"
15,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.896"
15,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.495"
16,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.073"
16,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.006"
16,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","14.086"
17,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","9.734"
17,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","9.441"
17,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.909"
18,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","29.975"
18,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","12.329"
18,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","23.968"
19,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","9.159"
19,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","6.859"
19,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","14.615"
20,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","10.943"
20,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","9.119"
20,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","10.376"
21,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","6.873"
21,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.391"
21,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.527"
22,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.73"
22,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","11.791"
22,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.954"
23,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","8.66"
23,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.352"
23,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","19.783"
24,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","13.527"
24,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.664"
24,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","14.103"
25,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","12.351"
25,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","17.495"
25,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","9.179"
26,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","1.084"
26,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.639"
26,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.639"
26,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.336"
26,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","8.692"
26,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.336"
26,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","8.692"
27,"parallel                      ","Successful debates                                                                                                                                                                                                                                                                                          ","student                       ","7.341"
27,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","5.63"
27,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.68"
28,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","11.811"
28,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.798"
28,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","11.636"
29,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","7.863"
29,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","15.166"
29,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","8.639"
30,"parallel                      ","Successful Debates                                                                                                                                                                                                                                                                                          ","student                       ","15.302"
30,"hier                          ","Depression                                                                                                                                                                                                                                                                                                  ","drinking                      ","10.535"
30,"organic                       ","More friends                                                                                                                                                                                                                                                                                                ","gym                           ","11.815"
