"question_id","participant_id","time","options_checked"
11,2,"43.998","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
4,2,"94.007","{""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                                                                                    "
6,2,"41.959","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
5,2,"43.43","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
9,2,"57.645","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
16,2,"47.534","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
2,2,"86.768","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
15,3,"40.174","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
2,3,"51.623","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
16,3,"110.238","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
18,3,"37.494","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
1,3,"89.616","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
9,3,"51.03","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
7,3,"62.117","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
3,3,"61.214","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
8,3,"149.27","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
11,3,"33.895","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
5,3,"41.798","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
4,3,"87.351","{""underaged drinking                                "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
6,3,"49.494","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
12,3,"170.783","{""gym buddy                                         "",""inability to focus                                "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                                                                               "
14,3,"129.284","{""pass exams                                        "",""doesn't miss deadlines                            "",""studying in the library                           "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                               "
13,3,"141.838","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
17,3,"46.71","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
10,3,"179.975","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
14,4,"78.351","{""pass exams                                        "",""studying in the library                           "",""regular gym attendance                            ""}                                                                                                                                                                                                                                                                                                                                                    "
17,4,"44.701","{""pass exams                                        "",""independent work                                  "",""hard work                                         "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
7,4,"51.559","{""gym dislike                                       "",""obesity                                           "",""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                               "
12,4,"97.575","{""gym buddy                                         "",""inability to focus                                "",""join sports societies                             "",""large gym                                         ""}                                                                                                                                                                                                                                                                                               "
16,4,"53.534","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
9,4,"47.151","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
8,4,"76.598","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
5,4,"38.27","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
1,4,"97.614","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
2,4,"59.023","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
15,4,"56.471","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
18,4,"62.021","{""pass exams                                        "",""meditation                                        ""}                                                                                                                                                                                                                                                                                                                                                                                                         "
13,4,"103.903","{""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                                                                                    "
4,4,"81.326","{""underaged drinking                                "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
6,4,"51.365","{""smoking                                           "",""gambling                                          "",""drinking friends                                  ""}                                                                                                                                                                                                                                                                                                                                                    "
3,4,"103.719","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
11,4,"117.973","{""gym buddy                                         "",""tired body                                        "",""more friends                                      ""}                                                                                                                                                                                                                                                                                                                                                    "
10,4,"84.94","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
10,5,"53.079","{""gym buddy                                         "",""regular gym attendance                            "",""tired body                                        "",""join sports societies                             ""}                                                                                                                                                                                                                                                                                               "
11,5,"67.431","{""gym buddy                                         "",""tired body                                        "",""more friends                                      "",""social gym experience                             ""}                                                                                                                                                                                                                                                                                               "
13,5,"68.039","{""luck                                              "",""day-dreaming                                      "",""good planning                                     "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                               "
4,5,"46.605","{""underaged drinking                                "",""alcoholism                                        "",""drinking parents                                  "",""low grades                                        ""}                                                                                                                                                                                                                                                                                               "
17,5,"41.287","{""pass exams                                        "",""independent work                                  "",""meditation                                        ""}                                                                                                                                                                                                                                                                                                                                                    "
2,5,"92.654","{""emotional problems                                "",""obesity                                           "",""bullying                                          "",""health issues                                     ""}                                                                                                                                                                                                                                                                                               "
16,5,"59.783","{""confidence                                        "",""study groups                                      "",""regular drinking                                  "",""many friends                                      ""}                                                                                                                                                                                                                                                                                               "
18,5,"77.423","{""pass exams                                        "",""missed deadlines                                  "",""low self-esteem                                   "",""meditation                                        ""}                                                                                                                                                                                                                                                                                               "
3,5,"68.773","{""negative parenting                                "",""suicidal behaviour                                "",""lack of self-esteem                               "",""binge eating                                      ""}                                                                                                                                                                                                                                                                                               "
15,5,"115.399","{""day-dreaming                                      "",""desire to study                                   "",""studying in the library                           "",""poor performance                                  ""}                                                                                                                                                                                                                                                                                               "
6,5,"114.333","{""smoking                                           "",""health issues                                     "",""gambling                                          "",""drinking parents                                  ""}                                                                                                                                                                                                                                                                                               "
14,5,"86.846","{""pass exams                                        "",""doesn't miss deadlines                            "",""studying in the library                           ""}                                                                                                                                                                                                                                                                                                                                                    "
1,5,"84.855","{""low grades                                        "",""low self-image                                    "",""bullying                                          "",""regular drinking                                  ""}                                                                                                                                                                                                                                                                                               "
7,5,"63.439","{""popularity                                        "",""playing tennis                                    ""}                                                                                                                                                                                                                                                                                                                                                                                                         "
9,5,"76.183","{""taking supplements                                "",""regular gym attendance                            "",""gym buddy                                         "",""evident results                                   ""}                                                                                                                                                                                                                                                                                               "
8,5,"112.806","{""regular gym attendance                            "",""pool                                              "",""trainers                                          "",""available gym facilities                          ""}                                                                                                                                                                                                                                                                                               "
12,5,"93.494","{""gym buddy                                         "",""inability to focus                                "",""large gym                                         ""}                                                                                                                                                                                                                                                                                                                                                    "
5,5,"198.51","{""low salary                                        "",""smoking                                           "",""gambling                                          "",""lack of self-esteem                               ""}                                                                                                                                                                                                                                                                                               "
